cell_id,region_group,center_lat,center_lon,year,valid_quarters,q3_valid,q2_valid,annual_complete,selected_quarter,annual_area_m2,selected_quarter_mean_passes,minimum_mean_passes_over_used_quarters,variant,p95_annual_area_pre2005,relative_canopy,next_year_area_m2,next_year_observation_high_quality,relative_drop_next,event,canopy_lag1,canopy_lag2,canopy_2yr_change,canopy_3yr_change,canopy_3yr_mean,canopy_3yr_std,canopy_3yr_slope,canopy_drop_from_3yr_max,eligible,observation_high_quality,high_observation_pair_eligible
westcoast_0001,Washington outer coast,48.34552737936016,-124.73275960794618,1984,3,True,True,True,3.0,134385.0,2.733615221987315,1.0746460746460746,fixedpre_protocol_max,160730.1999999999,0.8360905417899068,148831.0,False,-0.10749711649365629,0,,,,,,,,,False,False,False
westcoast_0001,Washington outer coast,48.34552737936016,-124.73275960794618,1985,3,True,False,True,3.0,148831.0,1.750281214848144,1.0,fixedpre_protocol_max,160730.1999999999,0.9259678641599407,50911.0,False,0.6579274479107176,1,0.8360905417899068,,,,,,,,False,False,False
westcoast_0001,Washington outer coast,48.34552737936016,-124.73275960794618,1986,3,True,True,True,3.0,50911.0,2.5961945031712474,1.3933588761174969,fixedpre_protocol_max,160730.1999999999,0.31674819044585295,39546.0,False,0.22323270020231384,0,0.9259678641599407,0.8360905417899068,-0.5193423513440538,,0.6929355321319002,0.32887257456758673,-0.2596711756720268,0.6579274479107176,False,False,False
westcoast_0001,Washington outer coast,48.34552737936016,-124.73275960794618,1987,3,True,True,True,4.0,39546.0,1.0,1.0,fixedpre_protocol_max,160730.1999999999,0.24603963660842845,,False,,0,0.31674819044585295,0.9259678641599407,-0.6799282275515123,-0.5900509051814784,0.4962518970714074,0.3738205240146268,-0.3399641137757562,0.7342892273787047,False,False,False
westcoast_0001,Washington outer coast,48.34552737936016,-124.73275960794618,1988,1,True,False,False,3.0,,1.3794642857142858,1.3794642857142858,fixedpre_protocol_max,160730.1999999999,,,False,,0,0.24603963660842845,0.31674819044585295,,,,,,,False,False,False
westcoast_0001,Washington outer coast,48.34552737936016,-124.73275960794618,1989,2,False,True,False,2.0,,1.9799154334038056,1.0,fixedpre_protocol_max,160730.1999999999,,228159.0,False,,0,,0.24603963660842845,,,,,,,False,False,False
westcoast_0001,Washington outer coast,48.34552737936016,-124.73275960794618,1990,4,True,True,True,2.0,228159.0,1.0,1.0,fixedpre_protocol_max,160730.1999999999,1.4195154364270073,59864.0,False,0.7376215709220324,1,,,,1.1734757998185787,,,,,True,False,False
westcoast_0001,Washington outer coast,48.34552737936016,-124.73275960794618,1991,3,True,True,True,2.0,59864.0,2.3713355048859937,1.0,fixedpre_protocol_max,160730.1999999999,0.37245023026164364,123169.0,False,-1.0574802886542831,0,1.4195154364270073,,,,,,,,True,False,False
westcoast_0001,Washington outer coast,48.34552737936016,-124.73275960794618,1992,3,True,True,True,2.0,123169.0,3.248642779587405,1.0,fixedpre_protocol_max,160730.1999999999,0.7663090072680808,42605.0,False,0.6540931565572506,1,0.37245023026164364,1.4195154364270073,-0.6532064291589265,,0.8527582246522439,0.5288586643710015,-0.32660321457946334,0.460161554004006,True,False,False
westcoast_0001,Washington outer coast,48.34552737936016,-124.73275960794618,1993,3,True,True,True,2.0,42605.0,1.1712473572938689,1.0,fixedpre_protocol_max,160730.1999999999,0.26507152980584875,41214.0,False,0.032648750146696395,0,0.7663090072680808,0.37245023026164364,-0.1073787004557949,-1.1544439066211585,0.46794358911185774,0.2639109478432968,-0.05368935022789738,0.6540931565572506,True,False,False
westcoast_0001,Washington outer coast,48.34552737936016,-124.73275960794618,1994,3,True,True,True,3.0,41214.0,1.4619625137816978,1.0,fixedpre_protocol_max,160730.1999999999,0.256417275658215,109177.0,False,-1.6490270296501188,0,0.26507152980584875,0.7663090072680808,-0.5098917316098659,-0.11603295460342866,0.4292659375773815,0.2919199327702893,-0.254945865804933,0.6653865826628454,True,False,False
westcoast_0001,Washington outer coast,48.34552737936016,-124.73275960794618,1995,4,True,True,True,3.0,109177.0,2.6008583690987126,1.0,fixedpre_protocol_max,160730.1999999999,0.679256294087857,,False,,0,0.256417275658215,0.26507152980584875,0.4141847642820083,-0.08705271318022378,0.40024836651730694,0.241666695603931,0.20709238214100406,0.0,False,False,False
westcoast_0001,Washington outer coast,48.34552737936016,-124.73275960794618,1996,2,False,True,False,2.0,,1.0173053152039555,1.0,fixedpre_protocol_max,160730.1999999999,,12789.0,False,,0,0.679256294087857,0.256417275658215,,,,,,,False,False,False
