spec_id,domain,comparison,estimate,ci_low,ci_high,estimable_years,supported_positive
g05_area_scaled_o00,full_kelp_domain,trajectory_minus_current,0.03911093479490083,0.01779718678264685,0.061479651878168264,20,True
g05_area_scaled_o00,oisst_matched_domain,trajectory_minus_current,0.037949738594475715,0.016707600390507265,0.05977919500390127,20,True
g05_area_scaled_o00,oisst_matched_domain,oisst_minus_trajectory,-0.017027959747699727,-0.03966814040437279,0.0017880185617760046,20,False
g05_area_scaled_ox50,full_kelp_domain,trajectory_minus_current,0.03281373354836309,0.014621394032346897,0.05637899588146538,20,True
g05_area_scaled_ox50,oisst_matched_domain,trajectory_minus_current,0.030566821913279963,0.013708933346045574,0.05162325255554983,20,True
g05_area_scaled_ox50,oisst_matched_domain,oisst_minus_trajectory,-0.015805943336020003,-0.04051114246394955,0.0038970772027611543,20,False
g05_area_scaled_oxy50,full_kelp_domain,trajectory_minus_current,0.033198440030506204,0.01221308724543138,0.05558649199938822,20,True
g05_area_scaled_oxy50,oisst_matched_domain,trajectory_minus_current,0.031504997313231656,0.0109251024901008,0.05271185456353787,20,True
g05_area_scaled_oxy50,oisst_matched_domain,oisst_minus_trajectory,-0.015109104576276528,-0.030998746911738494,-0.001561011329863071,20,False
g05_area_scaled_oy50,full_kelp_domain,trajectory_minus_current,0.0362751670038294,0.01414533038560473,0.05889104400490364,20,True
g05_area_scaled_oy50,oisst_matched_domain,trajectory_minus_current,0.03482949489092082,0.01331138522038194,0.05594951376050514,20,True
g05_area_scaled_oy50,oisst_matched_domain,oisst_minus_trajectory,-0.015901018249419575,-0.032202496357836854,-0.001905990934784863,20,False
g05_fixed_500_o00,full_kelp_domain,trajectory_minus_current,0.023296904279805467,0.006397657801925618,0.04031717057919954,20,True
g05_fixed_500_o00,oisst_matched_domain,trajectory_minus_current,0.023296904279805467,0.006397657801925618,0.04031717057919954,20,True
g05_fixed_500_o00,oisst_matched_domain,oisst_minus_trajectory,-0.018909753383441166,-0.052650688399295716,0.009314105416753718,20,False
g05_fixed_500_ox50,full_kelp_domain,trajectory_minus_current,0.018327159626693647,0.0008562075662986899,0.04075553934798056,20,True
g05_fixed_500_ox50,oisst_matched_domain,trajectory_minus_current,0.018327159626693647,0.0008562075662986899,0.04075553934798056,20,True
g05_fixed_500_ox50,oisst_matched_domain,oisst_minus_trajectory,-0.01585860838642627,-0.04775948228540281,0.010736021660243508,20,False
g05_fixed_500_oxy50,full_kelp_domain,trajectory_minus_current,0.02603764277843148,0.0037368069157593096,0.05111244628981295,20,True
g05_fixed_500_oxy50,oisst_matched_domain,trajectory_minus_current,0.02603764277843148,0.0037368069157593096,0.05111244628981295,20,True
g05_fixed_500_oxy50,oisst_matched_domain,oisst_minus_trajectory,-0.020578580501684946,-0.04678958116614715,-0.0005944940364740508,20,False
g05_fixed_500_oy50,full_kelp_domain,trajectory_minus_current,0.020239235188068968,0.0012567305835244885,0.03811940296958527,20,True
g05_fixed_500_oy50,oisst_matched_domain,trajectory_minus_current,0.020239235188068968,0.0012567305835244885,0.03811940296958527,20,True
g05_fixed_500_oy50,oisst_matched_domain,oisst_minus_trajectory,-0.0174801205809904,-0.038602203739766645,0.0022163147001027506,20,False
g10_area_scaled_o00,full_kelp_domain,trajectory_minus_current,0.02349893898045437,0.005000903711772802,0.04136575871543992,20,True
g10_area_scaled_o00,oisst_matched_domain,trajectory_minus_current,0.02349893898045437,0.005000903711772802,0.04136575871543992,20,True
g10_area_scaled_o00,oisst_matched_domain,oisst_minus_trajectory,-0.018600888043454496,-0.048690553432591495,0.005881688797340429,20,False
g10_area_scaled_ox50,full_kelp_domain,trajectory_minus_current,0.017916472838586144,0.0012591444094281576,0.03541544265041202,20,True
g10_area_scaled_ox50,oisst_matched_domain,trajectory_minus_current,0.01656414695482132,-0.00032636563702723745,0.03384087150726108,20,False
g10_area_scaled_ox50,oisst_matched_domain,oisst_minus_trajectory,-0.019445880016646412,-0.05485923822040805,0.006237865779020804,20,False
g10_area_scaled_oxy50,full_kelp_domain,trajectory_minus_current,0.017783067154081404,-0.0020292818254483156,0.03709839647772569,20,False
g10_area_scaled_oxy50,oisst_matched_domain,trajectory_minus_current,0.018336193627315915,-0.002689860007967329,0.039214635896502634,20,False
g10_area_scaled_oxy50,oisst_matched_domain,oisst_minus_trajectory,-0.016290966349450448,-0.04949671725357559,0.008181627889221218,20,False
g10_area_scaled_oy50,full_kelp_domain,trajectory_minus_current,0.02052350379143566,-0.00015798296913194365,0.03992433050996214,20,False
g10_area_scaled_oy50,oisst_matched_domain,trajectory_minus_current,0.019645952714254504,-0.0012934541562989936,0.0391695708543864,20,False
g10_area_scaled_oy50,oisst_matched_domain,oisst_minus_trajectory,-0.015009958135278995,-0.0417067419491403,0.010099431281761625,20,False
g20_area_scaled_o00,full_kelp_domain,trajectory_minus_current,0.002067624489055632,-0.0359737725255291,0.0354537890966967,20,False
g20_area_scaled_o00,oisst_matched_domain,trajectory_minus_current,0.002067624489055632,-0.0359737725255291,0.0354537890966967,20,False
g20_area_scaled_o00,oisst_matched_domain,oisst_minus_trajectory,-0.01714633817379114,-0.048195345252842775,0.008929387937938996,20,False
g20_area_scaled_ox50,full_kelp_domain,trajectory_minus_current,0.01729994134787429,-0.022649525736919956,0.057369322796411215,20,False
g20_area_scaled_ox50,oisst_matched_domain,trajectory_minus_current,0.01729994134787429,-0.022649525736919956,0.057369322796411215,20,False
g20_area_scaled_ox50,oisst_matched_domain,oisst_minus_trajectory,-0.009459789212766719,-0.042225924487887936,0.01672783655055989,20,False
g20_area_scaled_oxy50,full_kelp_domain,trajectory_minus_current,0.0374695396463334,0.008337338867919314,0.0734931162935204,20,True
g20_area_scaled_oxy50,oisst_matched_domain,trajectory_minus_current,0.0374695396463334,0.008337338867919314,0.0734931162935204,20,True
g20_area_scaled_oxy50,oisst_matched_domain,oisst_minus_trajectory,-0.029418066975267408,-0.06645398043729173,-0.0025359649120754967,20,False
g20_area_scaled_oy50,full_kelp_domain,trajectory_minus_current,0.026747500626786498,3.569095623650171e-06,0.055043187685302634,20,True
g20_area_scaled_oy50,oisst_matched_domain,trajectory_minus_current,0.026747500626786498,3.569095623650171e-06,0.055043187685302634,20,True
g20_area_scaled_oy50,oisst_matched_domain,oisst_minus_trajectory,-0.023772870009351292,-0.06109439631277333,0.006729215106459397,20,False
g20_fixed_500_o00,full_kelp_domain,trajectory_minus_current,0.013087477769098934,-0.01382465476442694,0.03534914572241273,20,False
g20_fixed_500_o00,oisst_matched_domain,trajectory_minus_current,0.009946638590857492,-0.016410107268041197,0.03122165236908745,20,False
g20_fixed_500_o00,oisst_matched_domain,oisst_minus_trajectory,-0.018306401054269457,-0.04628513156587471,0.005080619010529562,20,False
g20_fixed_500_ox50,full_kelp_domain,trajectory_minus_current,0.013846911773474194,-0.005555346673614629,0.03582073518622768,20,False
g20_fixed_500_ox50,oisst_matched_domain,trajectory_minus_current,0.013846911773474194,-0.005555346673614629,0.03582073518622768,20,False
g20_fixed_500_ox50,oisst_matched_domain,oisst_minus_trajectory,-0.012764844055797952,-0.038146489382621225,0.007202609617554746,20,False
g20_fixed_500_oxy50,full_kelp_domain,trajectory_minus_current,0.02655118267631561,0.00578971394334327,0.050929166182318394,20,True
g20_fixed_500_oxy50,oisst_matched_domain,trajectory_minus_current,0.025894112093909887,0.004981845705477756,0.049847244788171464,20,True
g20_fixed_500_oxy50,oisst_matched_domain,oisst_minus_trajectory,-0.02454805482934147,-0.05722426866113032,-0.0014580024247117713,20,False
g20_fixed_500_oy50,full_kelp_domain,trajectory_minus_current,0.023798772856858007,-0.0009933839462480658,0.04873201022851874,20,False
g20_fixed_500_oy50,oisst_matched_domain,trajectory_minus_current,0.022803367776938265,-0.004025385159007649,0.049220733810975796,20,False
g20_fixed_500_oy50,oisst_matched_domain,oisst_minus_trajectory,-0.02674816153435757,-0.05937979055087078,-0.0026222066580957816,20,False
