site_id,context,year,latitude,longitude,kelp_target,purple_urchin_median,purple_threshold_fraction,active_grazing_proxy,depth_m,depth_mapped_fallback,rock_probability,mean_vrm,paper_temperature,paper_nitrate,paper_wave,paper_orbital,paper_npp,paper_spores,n_unique_transects,field_kelp_current_log1p,purple_urchin_log1p,log_vrm,field_prior_kelp_mean_log1p,field_prior_kelp_cv
ABALONE_COVE_KELP_W VRG,giant_southeast,2010,33.73922,-118.3879,137.25,129.0,0.5,0.12184432040669652,6.5,0,0.516933226,4.93e-05,0.0,0.079165575,0.43247850007711647,,7.633983651364616,6.942499645922565,4,4.929063640402444,4.867534450455582,4.929878479493957e-05,,
ABALONE_COVE_KELP_W VRG,giant_southeast,2011,33.73922,-118.3879,177.25,334.0,0.5,0.24639705161192008,7.1,0,0.516933226,4.93e-05,0.0,0.087219172,0.3992298337922009,,7.550673411801013,7.275784872108789,4,5.183187059294405,5.814130531825066,4.929878479493957e-05,4.929063640402444,
ABALONE_COVE_KELP_W VRG,giant_southeast,2012,33.73922,-118.3879,80.0,292.5,0.75,0.39266098375945324,7.0,0,0.516933226,4.93e-05,3.044522437723423,0.041287798,0.3991691319797695,,7.364202490062826,6.750555600094428,4,4.394449154672439,5.681877639268151,4.929878479493957e-05,5.064176061024286,0.17986817963409796
ABALONE_COVE_KELP_W VRG,giant_southeast,2013,33.73922,-118.3879,18.25,277.5,0.75,0.5550354867657498,6.0,0,0.516933226,4.93e-05,0.0,0.038839977,0.3684829126702011,,7.205374901264815,5.210563185747952,4,2.9575110607337933,5.629418059367339,4.929878479493957e-05,4.886582645426277,0.3717058225569632
ABALONE_COVE_KELP_W VRG,giant_southeast,2014,33.73922,-118.3879,5.5,408.5,0.5,0.5793217912908384,5.25,0,0.516933226,4.93e-05,4.3694478524670215,-0.038957206,0.40579307098912565,,7.081102243493512,6.396455184672798,4,1.8718021769015913,6.014936903293124,4.929878479493957e-05,4.646192160511013,0.6713616547529855
ABALONE_COVE_KELP_W VRG,giant_southeast,2015,33.73922,-118.3879,153.16666666666666,4.0,0.0,0.06912620140210529,9.0,0,0.516933226,4.93e-05,4.634728988229636,-0.031892854,0.3952057712909039,,6.939429837548434,5.785001894040569,6,5.03803426828437,1.6094379124341003,4.929878479493957e-05,4.438525108579144,0.8872158578885494
ABALONE_COVE_KELP_W VRG,giant_southeast,2016,33.73922,-118.3879,311.8333333333333,3.5,0.0,0.06820185433891283,9.600000000000001,0,0.516933226,4.93e-05,3.9889840465642745,-0.021761927,0.4296906783178871,,7.406597806983599,6.7656520176676365,6,5.745670567358454,1.5040773967762742,4.929878479493957e-05,4.566804662611326,0.7580396436042448
ABALONE_COVE_KELP_W VRG,giant_southeast,2017,33.73922,-118.3879,168.5,0.0,0.0,0.07824952535718492,9.0,0,0.516933226,4.93e-05,3.6109179126442243,-0.023388768,0.40382337186307393,,7.487370892135898,7.326285409446591,6,5.1328529268205045,0.0,4.929878479493957e-05,4.845592173102574,0.8329164028839897
ABALONE_COVE_KELP_W VRG,giant_southeast,2018,33.73922,-118.3879,235.25,3.5,0.0,0.07135363199707306,6.25,0,0.516933226,4.93e-05,4.0943445622221,-0.028002307,0.39733961686859504,,7.3026631968819045,7.511850892597726,8,5.464890566373852,1.5040773967762742,4.929878479493957e-05,4.886346768552911,0.748801175183494
ABALONE_COVE_KELP_W VRG,giant_southeast,2019,33.73922,-118.3879,231.875,1.0,0.0,0.25258217969992547,7.5,0,0.516933226,4.93e-05,3.6109179126442243,-0.008845062,0.4216691748810657,,7.564912037177078,7.4715588373821245,8,5.450501828921753,0.6931471805599453,4.929878479493957e-05,4.969813299576001,0.6878978785703609
