site_id,year,latitude,longitude,region_group,grazing_log1p,rock_probability,depth_m,kelp_species_contrast,n_transects
3_PALMS_EAST VRG,2008,33.7181,-118.3326,Southern California,3.8648676656925254,0.673324275,8.711276934,-2.6735537653587342,4
ABALONE_COVE_KELP_W VRG,2010,33.73922,-118.3879,Southern California,5.108418685868243,0.516933226,10.28960629,-2.5619819897016294,4
ABALONE_COVE_KELP_W VRG,2011,33.73922,-118.3879,Southern California,6.383333976789548,0.516933226,10.28960629,-2.6441335153472676,4
ABALONE_COVE_KELP_W VRG,2012,33.73922,-118.3879,Southern California,5.915180247785679,0.516933226,10.28960629,-0.8047189562170501,4
ABALONE_COVE_KELP_W VRG,2013,33.73922,-118.3879,Southern California,5.832900523245385,0.516933226,10.28960629,0.0,4
ABALONE_COVE_KELP_W VRG,2014,33.73922,-118.3879,Southern California,5.597433327929865,0.516933226,10.28960629,0.0,4
ABALONE_COVE_KELP_W VRG,2015,33.73922,-118.3879,Southern California,2.1383330595080277,0.516933226,10.28960629,-3.020127355638707,6
ABALONE_COVE_KELP_W VRG,2016,33.73922,-118.3879,Southern California,2.0871936349478184,0.516933226,10.28960629,-3.5964671106078994,6
ABALONE_COVE_KELP_W VRG,2017,33.73922,-118.3879,Southern California,0.6931471805599453,0.516933226,10.28960629,-3.784705896225356,6
ABALONE_COVE_KELP_W VRG,2018,33.73922,-118.3879,Southern California,2.418140953475739,0.516933226,10.28960629,-3.7373860911989354,8
ABALONE_COVE_KELP_W VRG,2019,33.73922,-118.3879,Southern California,1.3862943611198906,0.516933226,10.28960629,-3.5400132499612953,8
ABALONE_COVE_KELP_W VRG,2020,33.73922,-118.3879,Southern California,1.0986122886681098,0.516933226,10.28960629,-2.772588722239781,5
ANACAPA_MIDDLE_ISLE_CEN UCSB,2000,34.01006,-119.3878,Southern California,3.4339872044851463,0.510427351,11.97827061,0.0,3
ANACAPA_MIDDLE_ISLE_CEN UCSB,2001,34.01006,-119.3878,Southern California,5.5134287461649825,0.510427351,11.97827061,0.0,1
ANACAPA_MIDDLE_ISLE_CEN UCSB,2002,34.01006,-119.3878,Southern California,6.801091213706588,0.510427351,11.97827061,0.0,4
ANACAPA_MIDDLE_ISLE_CEN UCSB,2003,34.01006,-119.3878,Southern California,5.3700210981954015,0.510427351,11.97827061,0.0,4
ANACAPA_MIDDLE_ISLE_CEN UCSB,2004,34.01006,-119.3878,Southern California,4.249921776540562,0.510427351,11.97827061,0.0,4
ANACAPA_MIDDLE_ISLE_CEN UCSB,2005,34.01006,-119.3878,Southern California,6.907265038725156,0.510427351,11.97827061,-0.5493061443340549,4
ANACAPA_MIDDLE_ISLE_CEN UCSB,2006,34.01006,-119.3878,Southern California,6.514672085657262,0.510427351,11.97827061,0.0,4
ANACAPA_MIDDLE_ISLE_CEN UCSB,2007,34.01006,-119.3878,Southern California,6.504955553966373,0.510427351,11.97827061,-2.7992109794991875,4
ANACAPA_MIDDLE_ISLE_CEN UCSB,2008,34.01006,-119.3878,Southern California,6.988242948369315,0.510427351,11.97827061,-1.7005986908310777,4
ANACAPA_MIDDLE_ISLE_CEN UCSB,2009,34.01006,-119.3878,Southern California,7.53701162539155,0.510427351,11.97827061,0.0,4
ANACAPA_MIDDLE_ISLE_CEN UCSB,2010,34.01006,-119.3878,Southern California,6.260833874604648,0.510427351,11.97827061,-3.5979686132377844,4
ANACAPA_MIDDLE_ISLE_CEN UCSB,2011,34.01006,-119.3878,Southern California,6.689339307053305,0.510427351,11.97827061,0.0,4
ANACAPA_MIDDLE_ISLE_CEN UCSB,2012,34.01006,-119.3878,Southern California,6.91902970546424,0.510427351,11.97827061,-0.34657359027997264,4
ANACAPA_MIDDLE_ISLE_CEN UCSB,2013,34.01006,-119.3878,Southern California,4.7984811961414335,0.510427351,11.97827061,-4.029163653290479,4
ANACAPA_MIDDLE_ISLE_CEN UCSB,2014,34.01006,-119.3878,Southern California,4.353493381524446,0.510427351,11.97827061,-3.1354942159291497,4
